id,Categoria,Nome do táxon,Ordem,Família,Subfamília,Gênero,Espécie,Nome em Português,English Name
282,Espécie,Uropelia campestris,Columbiformes,Columbidae,Claravinae,Uropelia,campestris,rolinha-vaqueira,Long-tailed Ground-Dove
286,Espécie,Paraclaravis geoffroyi,Columbiformes,Columbidae,Claravinae,Paraclaravis,geoffroyi,pararu-espelho,Purple-winged Ground-Dove
288,Espécie,Columbina passerina,Columbiformes,Columbidae,Claravinae,Columbina,passerina,rolinha-cinzenta,Common Ground-Dove
290,Espécie,Columbina minuta,Columbiformes,Columbidae,Claravinae,Columbina,minuta,rolinha-de-asa-canela,Plain-breasted Ground-Dove
292,Espécie,Columbina talpacoti,Columbiformes,Columbidae,Claravinae,Columbina,talpacoti,rolinha-roxa,Ruddy Ground-Dove
295,Espécie,Columbina squammata,Columbiformes,Columbidae,Claravinae,Columbina,squammata,rolinha-fogo-apagou,Scaled Dove
297,Espécie,Columbina picui,Columbiformes,Columbidae,Claravinae,Columbina,picui,rolinha-picuí,Picui Ground-Dove
300,Espécie,Columbina cyanopis,Columbiformes,Columbidae,Claravinae,Columbina,cyanopis,rolinha-do-planalto,Blue-eyed Ground-Dove
305,Espécie,Guira guira,Cuculiformes,Cuculidae,Crotophaginae,Guira,guira,anu-branco,Guira Cuckoo
307,Espécie,Crotophaga major,Cuculiformes,Cuculidae,Crotophaginae,Crotophaga,major,anu-coroca,Greater Ani
308,Espécie,Crotophaga ani,Cuculiformes,Cuculidae,Crotophaginae,Crotophaga,ani,anu-preto,Smooth-billed Ani
311,Espécie,Tapera naevia,Cuculiformes,Cuculidae,Taperinae,Tapera,naevia,saci,Striped Cuckoo
314,Espécie,Dromococcyx phasianellus,Cuculiformes,Cuculidae,Taperinae,Dromococcyx,phasianellus,peixe-frito,Pheasant Cuckoo
315,Espécie,Dromococcyx pavoninus,Cuculiformes,Cuculidae,Taperinae,Dromococcyx,pavoninus,peixe-frito-pavonino,Pavonine Cuckoo
318,Espécie,Neomorphus geoffroyi,Cuculiformes,Cuculidae,Neomorphinae,Neomorphus,geoffroyi,jacu-estalo,Rufous-vented Ground-Cuckoo
323,Espécie,Neomorphus squamiger,Cuculiformes,Cuculidae,Neomorphinae,Neomorphus,squamiger,jacu-estalo-escamoso,Scaled Ground-Cuckoo
324,Espécie,Neomorphus rufipennis,Cuculiformes,Cuculidae,Neomorphinae,Neomorphus,rufipennis,jacu-estalo-de-asa-vermelha,Rufous-winged Ground-Cuckoo
325,Espécie,Neomorphus pucheranii,Cuculiformes,Cuculidae,Neomorphinae,Neomorphus,pucheranii,jacu-estalo-de-bico-vermelho,Red-billed Ground-Cuckoo
