,taxonomia,ordem,familia,subfamilia,genero,especie,nome_pt,nome_eng,url_wikiaves
888,Myrmotherula oreni,Passeriformes,Thamnophilidae,Thamnophilinae,Myrmotherula,oreni,choquinha-do-bambu,Bamboo Antwren,https://www.wikiaves.com.br/wiki/choquinha-do-bambu
889,Myrmotherula heteroptera,Passeriformes,Thamnophilidae,Thamnophilinae,Myrmotherula,heteroptera,choquinha-do-purus,Purus Antwren,https://www.wikiaves.com.br/wiki/choquinha-do-purus
891,Myrmotherula unicolor,Passeriformes,Thamnophilidae,Thamnophilinae,Myrmotherula,unicolor,choquinha-cinzenta,Unicolored Antwren,https://www.wikiaves.com.br/wiki/choquinha-cinzenta
892,Myrmotherula snowi,Passeriformes,Thamnophilidae,Thamnophilinae,Myrmotherula,snowi,choquinha-de-alagoas,Alagoas Antwren,https://www.wikiaves.com.br/wiki/choquinha-de-alagoas
893,Myrmotherula behni,Passeriformes,Thamnophilidae,Thamnophilinae,Myrmotherula,behni,choquinha-de-asa-lisa,Plain-winged Antwren,https://www.wikiaves.com.br/wiki/choquinha-de-asa-lisa
894,Myrmotherula menetriesii,Passeriformes,Thamnophilidae,Thamnophilinae,Myrmotherula,menetriesii,choquinha-de-garganta-cinza,Gray Antwren,https://www.wikiaves.com.br/wiki/choquinha-de-garganta-cinza
895,Myrmotherula assimilis,Passeriformes,Thamnophilidae,Thamnophilinae,Myrmotherula,assimilis,choquinha-da-várzea,Leaden Antwren,https://www.wikiaves.com.br/wiki/choquinha-da-varzea
896,Formicivora iheringi,Passeriformes,Thamnophilidae,Thamnophilinae,Formicivora,iheringi,formigueiro-do-nordeste,Narrow-billed Antwren,https://www.wikiaves.com.br/wiki/formigueiro-do-nordeste
897,Formicivora erythronotos,Passeriformes,Thamnophilidae,Thamnophilinae,Formicivora,erythronotos,formigueiro-de-cabeça-negra,Black-hooded Antwren,https://www.wikiaves.com.br/wiki/formigueiro-de-cabeca-negra
898,Formicivora grisea,Passeriformes,Thamnophilidae,Thamnophilinae,Formicivora,grisea,papa-formiga-pardo,White-fringed Antwren,https://www.wikiaves.com.br/wiki/papa-formiga-pardo
899,Formicivora serrana,Passeriformes,Thamnophilidae,Thamnophilinae,Formicivora,serrana,formigueiro-da-serra,Serra Antwren,https://www.wikiaves.com.br/wiki/formigueiro-da-serra
900,Formicivora littoralis,Passeriformes,Thamnophilidae,Thamnophilinae,Formicivora,littoralis,formigueiro-do-litoral,Restinga Antwren,https://www.wikiaves.com.br/wiki/formigueiro-do-litoral
901,Formicivora melanogaster,Passeriformes,Thamnophilidae,Thamnophilinae,Formicivora,melanogaster,formigueiro-de-barriga-preta,Black-bellied Antwren,https://www.wikiaves.com.br/wiki/formigueiro-de-barriga-preta
902,Formicivora rufa,Passeriformes,Thamnophilidae,Thamnophilinae,Formicivora,rufa,papa-formiga-vermelho,Rusty-backed Antwren,https://www.wikiaves.com.br/wiki/papa-formiga-vermelho
903,Formicivora grantsaui,Passeriformes,Thamnophilidae,Thamnophilinae,Formicivora,grantsaui,papa-formiga-do-sincorá,Sincora Antwren,https://www.wikiaves.com.br/wiki/papa-formiga-do-sincora
904,Formicivora paludicola,Passeriformes,Thamnophilidae,Thamnophilinae,Formicivora,paludicola,bicudinho-do-brejo-paulista,São Paulo Antwren,https://www.wikiaves.com.br/wiki/bicudinho-do-brejo-paulista
