"font-blue-soft href","d-block","font-blue-soft","font-blue","font-blue href","font-blue 2","font-blue href 2"
"https://www.wikiaves.com.br/wiki/rendeira","rendeira","Manacus manacus","677","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11412","8912","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11412"
"https://www.wikiaves.com.br/wiki/dancarino-de-crista-laranja","dançarino-de-crista-laranja","Heterocercus aurantiivertex","6","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11419","29","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11419"
"https://www.wikiaves.com.br/wiki/dancarino-de-crista-amarela","dançarino-de-crista-amarela","Heterocercus flavivertex","26","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11420","206","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11420"
"https://www.wikiaves.com.br/wiki/coroa-de-fogo","coroa-de-fogo","Heterocercus linteatus","24","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11421","489","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11421"
"https://www.wikiaves.com.br/wiki/uirapuru-vermelho","uirapuru-vermelho","Pipra aureola","19","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11423","370","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11423"
"https://www.wikiaves.com.br/wiki/rabo-de-arame","rabo-de-arame","Pipra filicauda","31","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11424","773","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11424"
"https://www.wikiaves.com.br/wiki/uirapuru-laranja","uirapuru-laranja","Pipra fasciicauda","192","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11425","3675","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11425"
"https://www.wikiaves.com.br/wiki/tangara-rajado","tangará-rajado","Machaeropterus regulus","95","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11403","1158","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11403"
"https://www.wikiaves.com.br/wiki/tangara-riscado","tangará-riscado","Machaeropterus striolatus","19","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11404","94","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11404"
"https://www.wikiaves.com.br/wiki/uirapuru-cigarra","uirapuru-cigarra","Machaeropterus pyrocephalus","92","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11405","700","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11405"
"https://www.wikiaves.com.br/wiki/cabeca-branca","cabeça-branca","Pseudopipra pipra","85","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11422","2075","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11422"
"https://www.wikiaves.com.br/wiki/dancador-de-crista","dançador-de-crista","Ceratopipra cornuta","5","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11426","50","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11426"
"https://www.wikiaves.com.br/wiki/cabeca-de-ouro","cabeça-de-ouro","Ceratopipra erythrocephala","74","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11427","707","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11427"
"https://www.wikiaves.com.br/wiki/cabeca-encarnada","cabeça-encarnada","Ceratopipra rubrocapilla","229","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11428","2808","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11428"
"https://www.wikiaves.com.br/wiki/dancador-de-cauda-graduada","dançador-de-cauda-graduada","Ceratopipra chloromeros","1","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11429","8","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11429"
"","","","","","",""
"https://www.wikiaves.com.br/wiki/anambe-dos-tepuis","anambé-dos-tepuis","Pipreola whitelyi","5","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11367","54","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11367"
"https://www.wikiaves.com.br/wiki/corocoxo","corocoxó","Carpornis cucullata","320","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11365","3475","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11365"
"https://www.wikiaves.com.br/wiki/sabia-pimenta","sabiá-pimenta","Carpornis melanocephala","83","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11366","1227","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11366"
"https://www.wikiaves.com.br/wiki/galo-da-serra","galo-da-serra","Rupicola rupicola","73","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11361","1456","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11361"
"https://www.wikiaves.com.br/wiki/saura","saurá","Phoenicircus carnifex","41","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11362","443","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11362"
"https://www.wikiaves.com.br/wiki/saura-de-pescoco-preto","saurá-de-pescoço-preto","Phoenicircus nigricollis","26","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11363","120","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11363"
"https://www.wikiaves.com.br/wiki/corta-ramos","corta-ramos","Phytotoma rutila","5","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11360","409","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11360"
"https://www.wikiaves.com.br/wiki/tesourinha-da-mata","tesourinha-da-mata","Phibalura flavirostris","14","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11364","2109","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11364"
"https://www.wikiaves.com.br/wiki/anambe-militar","anambé-militar","Haematoderus militaris","5","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11388","140","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11388"
"https://www.wikiaves.com.br/wiki/anambe-una","anambé-una","Querula purpurata","136","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11387","1225","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11387"
"https://www.wikiaves.com.br/wiki/pavo","pavó","Pyroderus scutatus","98","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11389","3368","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11389"
"https://www.wikiaves.com.br/wiki/mau","maú","Perissocephalus tricolor","68","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11390","399","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11390"
"https://www.wikiaves.com.br/wiki/anambe-preto","anambé-preto","Cephalopterus ornatus","12","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11391","438","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11391"
"https://www.wikiaves.com.br/wiki/cricrio-de-cinta-vermelha","cricrió-de-cinta-vermelha","Lipaugus streptophorus","5","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11380","39","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11380"
"https://www.wikiaves.com.br/wiki/cricrio","cricrió","Lipaugus vociferans","569","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11378","1646","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11378"
"https://www.wikiaves.com.br/wiki/tropeiro-da-serra","tropeiro-da-serra","Lipaugus lanioides","116","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11379","1380","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11379"
"https://www.wikiaves.com.br/wiki/saudade","saudade","Lipaugus ater","200","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11375","1026","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11375"
"https://www.wikiaves.com.br/wiki/saudade-de-asa-cinza","saudade-de-asa-cinza","Lipaugus conditus","20","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11376","182","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11376"
"https://www.wikiaves.com.br/wiki/araponga-da-amazonia","araponga-da-amazônia","Procnias albus","71","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11372","306","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11372"
